text,gold,pred
' no smoking gun ': morning joe laughs as gop ' s ' [MASK] ' claims fall apart on fox news raw story know where maga gop party can find not only smoking gun but an exploded nuke : the millions grifted by ivanka jared trump .,positive,negative
the department of justice has indicted former fbi agent jared wise for illegally entering the capitol on january and encouraging the maga mob to kill [MASK] ..,negative,positive
"reminder that when we voted * twice * last congress to keep [MASK] v . wade as the law of the land , every single republican in congress voted no .",positive,negative
"reminder that when we voted * twice * last congress to keep roe v . [MASK] as the law of the land , every single republican in congress voted no .",positive,negative
""" the decision by [MASK] ' s chris licht to throw donald trump propaganda rally , to stack an audience full of his sycophants , and then to celebrate it as news , is an absurdity ."" i break down why cnn ' s trump town hall was an insult to journalism :",positive,negative
""" the decision by cnn ' s chris licht to throw donald trump propaganda rally , to stack an audience full of his sycophants , and then to celebrate it as news , is an absurdity ."" i break down why [MASK] ' s trump town hall was an insult to journalism :",positive,negative
"we need the wisdom , sensibilities of gracious , dynamic intelligent man who is helping america get free of maga cultism , conspiracy theories high crimes of hypocrisy in "" high places "" in our legal systems in america . mr . [MASK] wants us to have future !",positive,negative
possibly the most powerful reason to [MASK] in american history . psycho pin :,positive,negative
"if the [MASK] wanted to obliterate the republican party , they could not have done better job than magas . the debt ceiling crisis is manufactured by maga and if they default , the ensuing mayhem will be owned by the",positive,negative
"trump is responsible for jan insurrection and riots . and because of him , proud boys and other maga extremists participated on jan capitol riot . they got caught and prosecuted . [MASK] is still free man . he belongs in jail .",negative,positive
"if you ' re anti antifa , you ' re [MASK] violated the espionage act and should spend life in prison . so must rand paul , jared kushner , rudy giuliani , josh hawley , eric trump , lauren boebert , mtg , sean hannity , and the other traitors .",negative,positive
christian conservative who voted republican her entire life is calling on all women to vote for [MASK] . this election is about so much more than politics .,positive,negative
"nothing says conservative christian like the party of gun advocates and school massacres . face it , [MASK] switching party are like kyrsten sinema . am not saying they are prostitutes selling out for cash . though they are . that is the supreme court .",positive,negative
thanks trumpers are now out proud again in several [MASK] hats worn to our gym today . normalizing criminal . man who tried to overturn our election lies pathologically the is making sure their states elections are anti democratic,negative,positive
trumps big mouth and juvenile temper may have cost him another few million as jean carroll weighs another lawsuit against trump after his vengeful performance on [MASK] . she may have finally found the way to shut him up .,positive,negative
"crossings fallfor those that cannot think themselves : that means trump . maga . supremacist . facist message is wrong , and the trump . maga . supremacist . facist messages are lies . mayorkas defends [MASK] record as border crossings fall after title 42 ends",positive,negative
"you ' re right , we don ' t have time to deprogram the [MASK] trump created nor are we equipped to get past "" brain mapping "" with those who accept lies conspiracy theories . truly believe millennials gen z . are the ones who are absolutely committed to win for us",negative,positive
"one big , obvious reason why women are fleeing the republican party : trump , the big , orange , ugly , angry reminder of exactly how much some men hate women . gop misogyny is killing the [MASK] .",negative,positive
fox news daily dose of [MASK] alleged scandals with no evidence thanks fox news you guys have biden living rent free in your heads and facilities . not bad pr for upcoming 2024 . we are keeping president joe biden in 2024,positive,negative
fox news daily dose of biden alleged scandals with no evidence thanks [MASK] you guys have biden living rent free in your heads and facilities . not bad pr for upcoming 2024 . we are keeping president joe biden in 2024,negative,positive
fox news daily dose of biden alleged scandals with no evidence thanks fox news you guys have [MASK] living rent free in your heads and facilities . not bad pr for upcoming 2024 . we are keeping president joe biden in 2024,positive,negative
[MASK] : die . democrats : die please . :),negative,positive
earlier saw rnc complaining that president biden was on vacation . lie . he was giving commencement address at d . c . howard university . president [MASK] weekend trips home in 12yrs have cost the taxpayer about $ 3million . one trump trip to mara largo ....,positive,negative
earlier saw rnc complaining that president biden was on vacation . lie . he was giving commencement address at d . c . howard university . president bidens weekend trips home in 12yrs have cost the taxpayer about $ 3million . one [MASK] trip to mara largo ....,negative,positive
am shocked the maga crowd has not said that hunter [MASK] laptop was to blame for the latest gun massacre in texas . just saying,positive,negative
"now we are hearing that chris licht his producers chris russell lauren mensch , are defiant about their irresponsible production of the trump [MASK] townhall . what bunch of low lifesscumbags .",negative,positive
"[MASK] is not as disturbing to me as the maga crowd that love trump . there is something wrong with people who laugh and celebrate violence at the capitol , defamation and sexual abuse of women , being putins puppet , and could care less that he lies . sad day for america .",negative,positive
"republicans want to slash veteran benefits , meanwhile , recently unveiled the largest budget proposal in you . s . history for veterans ! [MASK] and reelect biden in 2024 !",positive,negative
"republicans want to slash veteran benefits , meanwhile , recently unveiled the largest budget proposal in you . s . history for veterans ! vote democrat and reelect [MASK] in 2024 !",positive,negative
ukrainians should turn over their country to [MASK] so he will stop killing them ? where does that end ? and who says putin will stop killing ukrainians if they surrender ? this is shockingly naive and blatantly disloyal to our european allies . maga putin loyalists,negative,positive
ukrainians should turn over their country to putin so he will stop killing them ? where does that end ? and who says [MASK] will stop killing ukrainians if they surrender ? this is shockingly naive and blatantly disloyal to our european allies . maga putin loyalists,negative,positive
"would like to know if this is true and , if so , what led the fbi to actively source information from proud boys joe biggs , to try to hunt antifa . were [MASK] barrs efforts to send le after antifa bogeymen really that successful ? or is this story about the fl fbi office ...",negative,positive
this could be fun ! trump tries to steal [MASK] spotlighttfg plans iowa rally on same day as set to appear twice in first gop primary stateknives or guns ? let them duel to deathwe would all be better off,negative,positive
this could be fun ! trump tries to steal desantis spotlighttfg plans iowa rally on same day as set to appear twice in first gop primary stateknives or [MASK] ? let them duel to deathwe would all be better off,negative,positive
"do you hear the words that come out of your mouth ? the drugs were seized , which means they won ' t make it to our streets which means our border patrol is doing their job . thank you [MASK] .",positive,negative
[MASK] vice president harris have given us : the lowest unemployment rate in 50 years the most jobs created in any two years in us history for more economic progress !,positive,negative
we libs are radical departure from what the [MASK] wants ! i am radical antifa ? my leaders are biden obama !,negative,positive
we libs are radical departure from what the gop wants ! i am radical antifa ? my leaders are [MASK] obama !,positive,negative
"the default on america act that [MASK] republicans forced through the house would cause 1 . 7 million women , infants , and children to lose vital wic benefits they rely on to stay healthy and safe . refuse to accept the gops cruelty .",negative,positive
"also notable , rwds became infamous in scentral america for murdering [MASK] opposition members to include four us catholic missionaries who they gang raped , tortured and executed all for the crime of helping ' leftists '. these turds know this .",positive,negative
"it makes me sick that [MASK] has decided to have toxic , pathological , corrupt , thug , highlighted on special , validating him , as viable candidate for president . their ratings are down , so now they are going after maga audience . they are legitimizing his ideology . what shame",positive,negative
"james comer was asked if has evidence directly linking [MASK] to anything illegal , comer indicates he does notretweet this to all joe bidens haters !",positive,negative
"james comer was asked if has evidence directly linking joe biden to anything illegal , comer indicates he does notretweet this to all [MASK] haters !",positive,negative
"[MASK] : "" it ' s serious crime that the bidens had committed , but don ' t know what yet or what evidence , but it is serious ..."" maga : "" see ! bidens are guilty !""",negative,positive
"fox news : "" it ' s serious crime that the [MASK] had committed , but don ' t know what yet or what evidence , but it is serious ..."" maga : "" see ! bidens are guilty !""",positive,negative
"fox news : "" it ' s serious crime that the bidens had committed , but don ' t know what yet or what evidence , but it is serious ..."" maga : "" see ! [MASK] are guilty !""",positive,negative
republicans are trying to change the narrative : to [MASK] familyjavanka corruption to hunters laptop ! maga fascism to dem fascism ! ( even they hate anti fascists ) freedom ; but republicans take it awaydemocracy ; republicans project but,positive,negative
republicans are trying to change the narrative : to biden crime familyjavanka corruption to hunters laptop ! maga fascism to dem fascism ! ( even they hate anti [MASK] ) freedom ; but republicans take it awaydemocracy ; republicans project but,negative,positive
was starting to respect you little bit then you opened your mouth today and tried to defend [MASK] and his maga republicans and you said anitfa is an origination ? please get some education and common sense antifa is an idea not an origination . your embarrassing,negative,positive
"our national debt prob isn ' t social security , it ' s republican tax cuts for rich . began regan 20 %+ cut for rich 5 % cut for everyone else . bush , 10 % for rich 1 % for rest , trump ' s 10 % cut for rich 1 % for rest . only clinton , obama , [MASK] paid down debt .",positive,negative
"sickening ! kevin mccarthy is boastful and proud of his plan to cut vets health benefits . [MASK] will always fight for vets , the poor and the hungry .",positive,negative
"it is not just desatan , but the entire florida state gopkkk terrorism and propaganda machine . [MASK] hold vast majority or registered voters , but gerrymandering gives the red menace the advantage we need federal law requiring independent districting committees for all",positive,negative
iowa is on the maga gop child [MASK] train,negative,positive
"in democracy doing job when it comes with threats of violence forces teachers , poll worker , even doctors out of public life so maga ' s can fill those roles . support [MASK]",positive,negative
"my god , do you even comprehend how deeply you ' re embarrassing yourself on [MASK] in front of dana bash ? holy cow . you ' re just maga cult thug ... and truly crude thug .",positive,negative
"in 1991 , democrats had the majority in the senate . yet clarence thomas was given vote even got few democratic votes for confirmation . just like david souter before him . because [MASK] believed in norms civility . it is beyond appalling what mcconnell did to garland .",positive,negative
"so , if trump issues another call to arms for his naziproud boysoath keepers3 % rwdswhite supremacist militia followers at tonight ' s they follow his orders , committing more murders on his behalf ; will [MASK] be held liable for nationally broadcasting his hit list ?",positive,negative
[MASK] will drop like rock in polls when trial exposes more details of his refusal to dosay anything to stop his maga cult mob from attacking the capitol on jan,negative,positive
"maga : they only arrested santos to give the media an excuse to not cover the huge [MASK] revelations that are going to be made at the comer press conference ! comer : yeah , we ' ve got nothing so far , but we ' re gonna keep looking until we elect republican president .",positive,negative
"maga : they only arrested santos to give the media an excuse to not cover the huge biden crime revelations that are going to be made at the comer press conference ! comer : yeah , we ' ve got nothing so far , but we ' re gonna keep looking until we elect [MASK] president .",negative,positive
last year we asked [MASK] about their priorities for us immigration policy . here is how latino democrats and latino republicans viewed some key policy issues .,positive,negative
last year we asked latinos about their priorities for us immigration policy . here is how [MASK] democrats and latino republicans viewed some key policy issues .,positive,negative
last year we asked latinos about their priorities for us immigration policy . here is how latino [MASK] and latino republicans viewed some key policy issues .,positive,negative
last year we asked latinos about their priorities for us immigration policy . here is how latino democrats and [MASK] republicans viewed some key policy issues .,positive,negative
"ron desantis really is worse than trump . patient : am sick . please helpdoc : no , you are [MASK] . you bother my conscience . p : but am sickd : but you are lgbtq p : will sue youd : nope , desantis will not let you . it is the law . just die .",positive,negative
"ron desantis really is worse than trump . patient : am sick . please helpdoc : no , you are gay . you bother my conscience . p : but am sickd : but you are [MASK] p : will sue youd : nope , desantis will not let you . it is the law . just die .",positive,negative
"ron desantis really is worse than trump . patient : am sick . please helpdoc : no , you are gay . you bother my conscience . p : but am sickd : but you are lgbtq p : will sue youd : nope , [MASK] will not let you . it is the law . just die .",negative,positive
hope the public interrupts the show and won ' t allow [MASK] to lie anymore . trump will sound just like broken record . he has one pitch . hope the public won ' t allow any more lies from that mfer .,negative,positive
it is worth noting that not single defendant blamed the fbi or antifa . they all said [MASK] sent them .,negative,positive
it ' s no mystery that [MASK] ' s town hall was stacked to be kkk rally . shame on cnn and all who participated in it ' s production,negative,positive
it ' s no mystery that trump ' s town hall was stacked to be kkk rally . shame on [MASK] and all who participated in it ' s production,positive,negative
vote for trump is vote for putin . trump will cut off support to ukraine and lift sanctions on [MASK] .,negative,positive
oh by the way . is fox news running the [MASK] town hall so that the maga mob can actually watch it without admitting they watched cnn ?,positive,negative
oh by the way . is fox news running the cnn town hall so that the [MASK] can actually watch it without admitting they watched cnn ?,negative,positive
oh by the way . is fox news running the cnn town hall so that the maga mob can actually watch it without admitting they watched [MASK] ?,positive,negative
it is just like maga republican extremists to try to sell more [MASK] for the gun manufacturers when mass murder has just occurred . cha ching .,negative,positive
"if the general public outside the state of tennessee know maga gop marsha blackburn is the most corrupt politician in the us senate , why is she not under dojfbi criminal investigation or is she like [MASK] immune from prosecution . indict the bitch .",negative,positive
"the thing is , don ' t know whether jane is referring to maga [MASK] worship or the magas threatening us with defaulting on our bills and provoking global financial crisis . or both , could be both . probably is both .",negative,positive
the evidence was planted . did the same thing [MASK] did . nobody told me this was wrong . it was the fbi . it was antifa . it was fauci . it was eric . the ramp was slippery . was making joke . got bad advice . refuse to answer under the grounds it might incriminate me .,positive,negative
' irresponsible ' [MASK] accused of packing trump town hall with 400 ' sympathetic ' voters,positive,negative
"new : we obtained emails between top [MASK] administration dhs officials and ginni thomas , conservative activist and wife of the supreme court justice . the emails show thomas sharing election conspiracies in the days before the 2020 election .",negative,positive
"via [MASK] : on the cnn rally tonight , donald trump said that the january 6th insurrectionists are great people .",positive,negative
"via msnbc : on the [MASK] rally tonight , donald trump said that the january 6th insurrectionists are great people .",positive,negative
having town hall with trump is helping to normalize the criminal behavior of maga and trump .. it ' s as if they want [MASK] back in the whitehouse because having him as potus would allow them to show all the evil he ' s doing and get higher ratings . higher ratings more money .,negative,positive
"bill barr , as ag , aided and abetted all the crimes that were committed by trump , until he knew he would not get away with the j6 insurrectionso he [MASK] the administration . barr should be held accountable , like the rest of the maga mob .",positive,negative
[MASK] having bad day . santos is having bad day . mccarthy had some shade thrown at him by dark brandon about his plans for the debt ceiling .,negative,positive
"wait , didn ' t they say it was antifa ! [MASK] embraces jan . defendant who wants mike pence executed via",negative,positive
lindsay graham is upset that [MASK] has sent our national guard to the boader he is taken action and respectfully sending them back home safely maga gop result in violence taken their lives violently on the boarders by previous administration,positive,negative
abc news reporting poll respondents think [MASK] has less mental acuity than trump . really ? trump could not identify photo of woman he raped thought it was his second wife . biden got republicans to agree publicly during sotu that social security medicare should not be cut .,positive,negative
abc news reporting poll respondents think biden has less mental acuity than trump . really ? [MASK] could not identify photo of woman he raped thought it was his second wife . biden got republicans to agree publicly during sotu that social security medicare should not be cut .,negative,positive
abc news reporting poll respondents think biden has less mental acuity than trump . really ? trump could not identify photo of woman he raped thought it was his second wife . biden got [MASK] to agree publicly during sotu that social security medicare should not be cut .,negative,positive
"it ' s recklessly irresponsible for [MASK] to host town hall for trump , giving him national platform to spew his dangerous lies crackpot conspiracy theories , smear biden other dems , demonize judges prosecutors to incite his maga base to potential acts of violence .",positive,negative
"it ' s recklessly irresponsible for cnn to host town hall for trump , giving him national platform to spew his dangerous lies crackpot conspiracy theories , smear [MASK] other dems , demonize judges prosecutors to incite his maga base to potential acts of violence .",positive,negative
"maga political con artists keep calling democrats soft on crime and yet it ' s only them that are being found guilty of or charged with crimes , supporting criminals running for office , or want to defund our [MASK] agencies .",negative,positive
[MASK] is so out of shape he needed chair . was trump afraid he might pass out ?,negative,positive
trump is so out of shape he needed chair . was [MASK] afraid he might pass out ?,negative,positive
trump guilty of touching jean carroll will have to pay million in [MASK] . be prepared to hear maga crybabies of how it was rigged or he shouldn ' t be charged as they cry people are seeing trump for the emperor in shit covered clothes he is .,positive,negative
"today , cards sent to remind voters to [MASK] , vote for louise . your vote is your voice , make it loud clear !!",positive,negative
breaking : trump snapped at kaitlan collins and called her nasty person during cnns town hall . comment with blue heart if you think [MASK] is the nasty person !,negative,positive
"personally will not listen to maga qanon or trumpers tell me anything about "" defending crime "" with [MASK] . have personally took it up on myself to start vetting . research deep as far as can go legally . mvoters24 said never again that ' s exactly wtf we meant . game on",positive,negative
"polarization is hell of thing . donald trump was contagious and he went on stage to debate [MASK] all the same ! team "" where is ruth bader ginsburg ? wants to lecture you about civility more than they care about bad policy killing people .",positive,negative
"oh look , made the sexual predator donald trump deal . one was to fill the audience with maga , the other was to let him lie nonstop and bully and encourage violence to anyone who crossed him . your new [MASK] folks .",positive,negative
"the [MASK] are not crime family , as mtg and her maga friends will have you believe ! the real crime is trump , and his cult like hold , and the crimes he has committed .",positive,negative
"interesting isnt it ... how the [MASK] , and south used to be democrats ... now they are republicans ... its kind of like the party switch actually did happen ... leave alone that republicans voted against the civil rights acts .",negative,positive
"interesting isnt it ... how the kkk , and south used to be [MASK] ... now they are republicans ... its kind of like the party switch actually did happen ... leave alone that republicans voted against the civil rights acts .",positive,negative
"interesting isnt it ... how the kkk , and south used to be democrats ... now they are republicans ... its kind of like the party switch actually did happen ... leave alone that [MASK] voted against the civil rights acts .",negative,positive
[MASK] : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! [MASK] : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! [MASK] : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! [MASK] : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] [MASK] : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
"letting trump spew his lies and showing the reaction of many republicans to his lies is not killing democracy . [MASK] laid bare the lies and hypocrisy of the maga right and the "" christians "" for all to see . only the morally bankrupt saw leader on display in the town hall .",positive,negative
"hey gym , did you praise pay tribute to the capitol hill [MASK] who were killed wounded defending you other members of congress against trump ' s maga mob of terrorists on jan . 6 , 2021 ?",negative,positive
6 . did it during the rise of maga and deepening racial divides . wasam still willing to die for people who detest my existence why ? bc we are all americans . have one question for the millions of [MASK] when will be completely accepted as american ?,negative,positive
i ' m not watching trump ' s propaganda tonight . [MASK] has become unrecognizable as legitimate news organization . for giving this rapistcriminal platform legitimizing his maga assault on our country . please rt and encourage others to,positive,negative
"knows exactly what it means to be maga republicanso did alabama senator when he infamously joined 2016 trump campaign by wearing maga cap3 kkk references in maga article , which also featured individual in make [MASK] again cap",negative,positive
"i ' m not sure if bipartisan [MASK] is playing with us will bring out the bully pulpit verbal fight during his campaign ? it ' s suicidal watching him weak , defiantly silent leadership while demons run wild with amerikkka ' s democracy . he ' s trash",positive,negative
"we can assume that someone convinced [MASK] he was the target and tried to kill him . yet , most probably , putin understands that zelensky , and the us have nothing to do with the drone strike",negative,positive
wonder how many [MASK] will choose this photo for their christmas cards in december .,negative,positive
"regarding the [MASK] allegations : grassley : "" we don ' t know if they ' re true or untrue ."" johnson : "" there isn ' t going to be any hard proof ."" now that ' s what we call hoax , "" bigly .""",positive,negative
[MASK] ' s doctored laptop does not have thing to do with our lives . it ' s 100 % irrelevant . the debt ceiling and legislation of gun ownership are 100 % relevant to our lives .,positive,negative
we knew [MASK] wasn ' t corrupt ! they were lashing out strickly out of vengence hoping something might stick or knowing the maga minions would fall all over it ! it ' s trumps crime family and magets that are dirty ! jmo,positive,negative
live in florida . those aren ' t [MASK] calling her those names .,positive,negative
